two_realRank,1-qid,State,host_is_superhost,host_has_profile_pic,host_identity_verified,accommodates,beds,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,bathrooms,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_type_Entire condo,property_type_Entire guest suite,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Private room in condo,property_type_Private room in guest suite,property_type_Private room in home,property_type_Private room in loft,property_type_Private room in rental unit,property_type_Private room in townhouse,property_type_Room in boutique hotel,property_type_Room in hotel,property_type_Shared room in rental unit,accommodates_contribution,availability_30_contribution,availability_365_contribution,availability_60_contribution,availability_90_contribution,bathrooms_contribution,beds_contribution,host_has_profile_pic_contribution,host_identity_verified_contribution,host_is_superhost_contribution,number_of_reviews_contribution,number_of_reviews_l30d_contribution,number_of_reviews_ltm_contribution,property_type_Entire condo_contribution,property_type_Entire guest suite_contribution,property_type_Entire home_contribution,property_type_Entire loft_contribution,property_type_Entire rental unit_contribution,property_type_Entire serviced apartment_contribution,property_type_Entire townhouse_contribution,property_type_Private room in condo_contribution,property_type_Private room in guest suite_contribution,property_type_Private room in home_contribution,property_type_Private room in loft_contribution,property_type_Private room in rental unit_contribution,property_type_Private room in townhouse_contribution,property_type_Room in boutique hotel_contribution,property_type_Room in hotel_contribution,property_type_Shared room in rental unit_contribution,review_scores_accuracy_contribution,review_scores_checkin_contribution,review_scores_cleanliness_contribution,review_scores_communication_contribution,review_scores_location_contribution,review_scores_rating_contribution,review_scores_value_contribution,reviews_per_month_contribution,room_type_Entire home/apt_contribution,room_type_Hotel room_contribution,room_type_Private room_contribution,room_type_Shared room_contribution,model,predicted
81,Brooklyn,51251317,0,1,1,8,5,0.033333333,0.016666667,0.111111111,0.142465753,10,7,0,0.74,5,4.9,5,4.8,4.9,5,4.2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520045335,0.751958881,0.971813987,0.233408578,0.728362596,0.39732046,0.54622668,0.572011239,0.079037428,0.153702797,0.086203422,0.978150362,0.7390064,0,,0.211662646,0.982645913,0.882837095,0.265767676,0.236423763,,,0.476193809,0.429964506,0.807241947,0.022025053,0.766722855,0.764109425,,0.743089334,0.568572534,0.91337747,0.867299827,0.948655673,0.014281816,0.366057542,0.350218142,0.621687072,,0.049615367,,Manhattan_SVM,105
189,Brooklyn,690934,1,1,1,14,7,0.133333333,0.5,0.666666667,0.917808219,278,41,4,2.1,4.92,4.89,4.84,4.97,4.97,4.93,4.78,3.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.973254392,0.759332472,0.021761568,0.642298102,0.848462429,0.866912113,0.059222611,0.702161209,0.089903279,0.94237184,0.923420253,0.301384948,0.022956351,0.283691195,,0.261792012,0.974638389,0.002305357,0.13813926,0.22239848,,,0.2669396,0.527216546,0.878168856,0.192026197,0.747672583,0.768359564,,0.741354852,0.146237418,0.878454882,0.875812986,0.716934592,0.239483571,0.582698925,0.809210621,0.527484816,,0.020389093,,Manhattan_SVM,134
165,Brooklyn,6.85E+17,0,1,1,6,4,0,0,0,0.479452055,16,14,0,1.29,4.81,4.81,4.88,4.69,4.75,5,4.69,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.334112715,0.971023178,0.58052469,0.029929741,0.634771207,0.361463338,0.674474273,0.440702989,0.021085319,0.167221893,0.219856228,0.960038476,0.042752103,0.69684831,,0.275338461,0.961147333,0.089713031,0.231232979,0.300789457,,,0.275835,0.417158066,0.784767039,0.027315485,0.744755382,0.807370042,,0.710344832,0.554136015,0.70178268,0.155030449,0.951527992,0.253038677,0.668047123,0.443603571,0.732305993,,0.041924344,,Manhattan_SVM,174
60,Brooklyn,38663,0,1,1,11,5,0,0.05,0.044444444,0.58630137,44,5,0,0.32,4.74,4.85,4.59,4.88,4.88,4.88,4.66,2.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947343879,0.946002568,0.614849978,0.240253139,0.647504509,0.432533138,0.615061155,0.588064681,0.077166889,0.169232995,0.889646837,0.986059935,0.772628173,0.4961593,,0.74348609,0.946410579,0.889619552,0.090095941,0.072828785,,,0.54618698,0.31106091,0.813149826,0.058315649,0.76343741,0.811513849,,0.741367535,0.666855249,0.151235747,0.89193178,0.670735977,0.966148133,0.750774189,0.305281689,0.862938542,,0.026640174,,Manhattan_SVM,69
60,Brooklyn,34127215,1,1,1,6,5,0,0.5,0.666666667,0.556164384,26,3,1,0.52,5,5,4.96,5,5,4.81,4.65,2.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.364734875,0.957169511,0.618469164,0.62260762,0.400198476,0.481541871,0.541247116,0.406649475,0.080445122,0.995899135,0.212699799,0.649569856,0.874400953,0.575971544,,0.453986588,0.937195889,0.825620732,0.086989686,0.792170038,,,1,0.243377966,0.898102264,0.093321616,0.74341557,0.723884875,,0.955380721,0.132903961,0.911949493,0.789254137,0.700001204,0.038349739,0.569647372,0.239777922,0.692136878,,0.008865455,,Manhattan_SVM,41
56,Brooklyn,37648875,1,1,1,10,7,0.633333333,0.7,0.744444444,0.936986301,103,29,0,2.11,4.9,4.92,4.82,4.96,4.93,4.76,4.74,3.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.906625301,0.37345444,0.056826444,0.631612202,0.710374261,0.851893781,0.059071468,0.373332612,0.081333238,0.995972599,0.928464333,0.973269735,0.06012038,0.739896671,,0.193880702,0.956637291,0.893150863,0.133675373,1,,,0.502713843,0.507092788,0.839863866,0.053745537,0.994803585,0.699244194,,0.749730448,0.43069237,0.79301336,0.899937101,0.010452713,0.244109233,0.602093579,0.893801329,0.881576519,,0.037501967,,Manhattan_SVM,92
4,Brooklyn,34592851,0,1,1,16,4,0.933333333,0.966666667,0.977777778,0.487671233,3,0,0,0.06,5,5,5,5,5,5,5,3.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.969645947,0.053763991,0.6043607,0.974500996,0.538710921,0.916656279,0.809421502,0.651586211,0.036482054,0.078246232,0.062951443,0.968820093,0.964170709,0.483543252,,0.125346487,0.920843017,0.860727222,0.148341409,0.860556503,,,0.717350658,0.385668347,0.803682576,0.149640125,0.739989771,0.749471532,,0.963336545,0.316580574,0.975938029,0.817104582,0.975344918,0.028511971,0.69946585,0.260119141,0.471122723,,0.050036538,,Manhattan_SVM,2
30,Brooklyn,17513537,0,1,0,6,6,0,0,0.3,0.82739726,53,0,0,0.68,4.92,4.92,4.96,4.94,5,4.85,4.77,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.316052326,0.967856745,0.214907767,0.02629155,0.499953846,0.095772399,0.106595215,0.56793715,0.972417384,0.099874615,0.908787358,0.957769079,0.960067565,0.851869031,,0.404271352,0.055836711,0.890264172,0.172822124,0.170407257,,,0.456753498,0.666819944,0.862166281,0.044795825,0.831861644,0.700300352,,0.705311659,0.165550098,0.910155192,0.792161499,0.724816899,0.2187099,0.422044004,0.356069329,0.806569659,,0.050141525,,Manhattan_SVM,155
12,Brooklyn,13954583,0,1,1,2,1,1,1,1,0.246575342,12,0,0,0.14,4.1,4.56,4,4.89,5,4.67,4.78,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.040248141,0.042402993,0.61840579,0.975616678,0.55284752,0.102210279,0.861047151,0.490949296,0.103381186,0.107141434,0.202158906,0.931507871,0.94352545,0.50822045,,0.211422158,0.975020861,0.94083799,0.126304363,0.162357551,,,0.469169807,0.315481212,0.034718246,0.079991371,0.833587504,0.831668993,,0.042168623,0.399453354,0.214801798,0.847917757,0.043611468,0.949084525,0.508634082,0.24572717,0.347573652,,0.97630459,,Manhattan_SVM,8
12,Brooklyn,14522632,0,1,1,2,1,1,1,1,1,28,0,0,0.33,4.3,4.48,3.74,4.63,4.59,4.67,4.44,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.021893401,0.060271876,0.018533709,0.978783827,0.503132437,0.106736313,0.871746315,0.517973083,0.067707538,0.095300029,0.215262719,0.955456953,0.960479024,0.47016423,,0.351167105,0.938755979,0.863599392,0.119575102,0.222717179,,,0.455028562,0.602386761,0.049386281,0.108445287,0.702710332,0.765833476,,0.051174428,0.778597659,0.248489412,0.064160439,0.052570463,0.98790986,0.771525301,0.192020176,0.422391372,,0.961575235,,Manhattan_SVM,85
